Timestamp,Gender,Time spent on music (in hours)
3/24/2023 20:52:05,female,2
3/26/2023 21:43:29,female,3
3/26/2023 21:44:16,female,5
3/29/2023 10:35:23,female,28
3/29/2023 12:52:43,male,0.8
3/29/2023 13:44:14,male,23
3/29/2023 22:10:40,male,17.5
3/29/2023 22:10:42,male,1.5
3/29/2023 22:40:38,male,10
3/29/2023 22:44:38,male,26
3/29/2023 23:43:03,female,2
3/30/2023 3:16:03,male,23
3/30/2023 14:36:40,male,2
3/31/2023 9:01:02,male,5
3/31/2023 9:03:42,male,8
3/31/2023 9:03:52,male,15
3/31/2023 9:22:42,female,12
3/31/2023 9:25:21,male,0.4
3/31/2023 9:26:50,male,105
3/31/2023 11:38:30,male,16
3/31/2023 17:13:32,female,8
3/31/2023 17:14:56,male,6
3/31/2023 17:19:04,male,2
3/31/2023 17:19:13,male,8
3/31/2023 17:19:49,female,2
3/31/2023 17:20:03,female,2
3/31/2023 17:26:23,female,3
3/31/2023 17:31:15,male,3
3/31/2023 17:49:24,female,3
3/31/2023 17:54:59,female,8
3/31/2023 18:33:54,female,12
3/31/2023 23:51:56,female,2
4/1/2023 15:04:21,male,28
4/1/2023 15:04:34,female,26
4/1/2023 15:05:05,female,16
4/1/2023 15:05:10,female,17
4/1/2023 15:05:15,female,30
4/1/2023 15:05:22,male,17
4/1/2023 15:05:34,female,7
4/1/2023 15:05:42,female,11
4/1/2023 15:05:48,female,19
4/1/2023 15:05:59,male,26
4/1/2023 15:06:11,female,5
4/1/2023 15:06:18,male,4
4/1/2023 15:06:41,male,2
4/1/2023 15:06:47,female,10
4/1/2023 15:06:53,female,3
4/1/2023 15:07:16,male,7
4/1/2023 15:07:22,male,9
4/1/2023 15:07:26,male,20
4/1/2023 15:07:32,male,13
4/1/2023 15:07:38,male,21
4/1/2023 15:07:42,male,16
4/1/2023 16:34:38,female,12
4/1/2023 22:49:40,male,17.2
4/1/2023 22:52:37,female,3
4/1/2023 23:06:15,male,2
4/1/2023 23:23:11,female,4
4/2/2023 0:20:28,female,6
4/2/2023 1:08:13,female,2
4/2/2023 10:56:32,female,4
4/2/2023 11:30:06,female,4
4/2/2023 12:55:17,female,16
4/2/2023 15:28:14,female,14
4/2/2023 22:17:22,male,7
4/2/2023 22:18:24,female,5
4/2/2023 22:24:19,female,16
4/2/2023 22:41:29,female,5
4/3/2023 1:54:14,male,0.5
4/3/2023 2:46:54,male,4.25
4/3/2023 8:34:31,female,3
4/3/2023 8:34:57,female,4
4/3/2023 8:40:17,male,1
4/3/2023 8:40:23,female,1
4/3/2023 8:40:38,female,5
4/3/2023 8:40:44,female,5
4/3/2023 8:40:54,male,4
4/3/2023 11:16:50,female,2
4/3/2023 11:20:29,female,3
4/3/2023 11:21:02,female,40
4/3/2023 11:23:42,female,4
4/3/2023 11:26:11,female,2
4/3/2023 11:26:55,female,2
4/3/2023 11:27:57,male,48
4/3/2023 11:28:12,male,8
4/3/2023 11:29:41,male,8.7
4/3/2023 11:30:41,male,2
4/3/2023 11:30:56,female,2.5
4/3/2023 11:35:41,male,7
4/3/2023 11:36:04,male,9
4/3/2023 11:41:51,female,3
4/3/2023 11:41:59,female,2
4/3/2023 11:43:09,male,98
4/3/2023 11:43:10,female,4
4/3/2023 11:47:48,male,30
4/3/2023 11:48:05,female,2
4/3/2023 11:50:25,female,7
4/3/2023 11:50:40,male,10
4/3/2023 11:51:41,male,1
4/3/2023 11:52:13,male,21
