Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/19,Thursday,21,Uber,Travel,Debit
1/19,Thursday,1.1,130 SamTrans Bus,Travel,Clipper Card
1/19,Thursday,1.1,121 SamTrans Bus,Travel,Clipper Card
1/20,Friday,66,Hot Topic,Entertainment and Recreation,Cash
1/20,Friday,7.23,Target,Entertainment and Recreation,Cash
1/20,Friday,37.34,Fanloli Beauty Shop,Entertainment and Recreation,Debit
1/20,Friday,1.1,130 SamTrans,Travel,Clipper Card
1/22,Sunday,24.45,Kukje Supermarket,Entertainment and Recreation,Cash
1/23,Monday,3,130 SamTrans,Travel,Clipper Card
1/23,Monday,3.65,Embercadero to Daly City Bart,Travel,Clipper Card
1/23,Monday,13.04,Flowers,Entertainment and Recreation,Debit
1/23,Monday,13.65,El Porteno Empanadas (2),Food,Debit
1/24,Tuesday,1.1,130 SamTrans Bus,Travel,Clipper Card
1/24,Tuesday,1.1,121 SamTrans Bus,Travel,Clipper Card
1/26,Thursday,1.1,121 SamTrans Bus,Travel,Clipper Card
1/26,Thursday,1.1,130 SamTrans Bus,Travel,Clipper Card
1/26,Thursday,1.1,130 SamTrans Bus,Travel,Clipper Card
1/26,Thursday,34.04,Fanloli Beauty Shop,Entertainment and Recreation,Debit
1/30,Monday,1.1,130 SamTrans Bus,Entertainment and Recreation,Clipper Card
1/30,Monday,1.1,130 SamTrans Bus,Travel,Clipper Card
1/30,Monday,12.45,Panda Express,Food,Cash
1/31,Tuesday,1.1,121 SamTrans Bus,Travel,Clipper Card
1/31,Tuesday,1.1,130 SamTrans Bus,Travel,Clipper Card
1/31,Tuesday,28,Princess Nails Mission St.,Entertainment and Recreation,Debit
1/31,Tuesday,5,Tip - Princess Nails ,Entertainment and Recreation,Cash
1/31,Tuesday,4.12,Happy Donut (Bagel),Food,Cash
2/1,Thursday,1.1,130 SamTrans Bus,Travel,Clipper Card
